Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52
0,file:/C:/mallet/sample-data/abstract/(WIP)%20CloudCAMP-+-%20Automating%20the%20Deployment%20and%20Management%20of%20Cloud%20Services..txt,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.099107143,0.000892857,0.027678571,0.152678571,0.000892857,0.000892857,0.000892857,0.20625,0.054464286,0.000892857,0.000892857,0.000892857,0.000892857,0.009821429,0.161607143,0.000892857,0.000892857,0.000892857,0.01875,0.000892857,0.000892857,0.036607143,0.036607143,0.000892857,0.000892857,0.072321429,0.090178571,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857,0.000892857
1,file:/C:/mallet/sample-data/abstract/(WIP)%20Correlation-Driven%20Service%20Event%20Routing%20for%20Predictive%20Industrial%20Maintenance..txt,0.001234568,0.001234568,0.001234568,0.038271605,0.001234568,0.001234568,0.001234568,0.013580247,0.001234568,0.001234568,0.025925926,0.013580247,0.001234568,0.001234568,0.001234568,0.260493827,0.001234568,0.001234568,0.001234568,0.001234568,0.001234568,0.001234568,0.001234568,0.001234568,0.025925926,0.001234568,0.013580247,0.001234568,0.001234568,0.001234568,0.025925926,0.001234568,0.062962963,0.001234568,0.001234568,0.013580247,0.1,0.001234568,0.001234568,0.001234568,0.001234568,0.001234568,0.001234568,0.174074074,0.174074074,0.013580247,0.001234568,0.001234568,0.001234568,0.001234568
2,file:/C:/mallet/sample-data/abstract/(WIP)%20Tasks%20Selection%20Policies%20for%20Securing%20Sensitive%20Data%20on%20Workflow%20Scheduling%20in%20Clouds..txt,0.001369863,0.001369863,0.001369863,0.001369863,0.028767123,0.042465753,0.042465753,0.001369863,0.042465753,0.165753425,0.001369863,0.001369863,0.028767123,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.015068493,0.001369863,0.001369863,0.001369863,0.015068493,0.001369863,0.234246575,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.179452055,0.124657534,0.001369863,0.001369863,0.001369863,0.001369863,0.028767123,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863,0.001369863
3,file:/C:/mallet/sample-data/abstract/(WIP)%20Towards%20the%20Automated%20Composition%20of%20Machine%20Learning%20Services..txt,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.017460317,0.001587302,0.001587302,0.065079365,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.144444444,0.001587302,0.001587302,0.096825397,0.001587302,0.017460317,0.001587302,0.287301587,0.001587302,0.192063492,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.017460317,0.080952381,0.001587302,0.001587302,0.017460317,0.001587302,0.001587302,0.001587302
4,file:/C:/mallet/sample-data/abstract/3D%20Medical%20Volume%20Reconstruction%20Using%20Web%20Services..txt,0.011702128,0.043617021,0.086170213,0.00106383,0.043617021,0.011702128,0.15,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.011702128,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.011702128,0.011702128,0.075531915,0.00106383,0.00106383,0.00106383,0.011702128,0.00106383,0.054255319,0.330851064,0.00106383,0.00106383,0.00106383,0.00106383,0.00106383,0.011702128,0.00106383,0.032978723,0.011702128,0.00106383,0.054255319,0.00106383
5,file:/C:/mallet/sample-data/abstract/3D%20Visualization%20for%20Software%20Development..txt,0.012941176,0.001176471,0.036470588,0.001176471,0.06,0.001176471,0.165882353,0.001176471,0.154117647,0.001176471,0.001176471,0.001176471,0.248235294,0.001176471,0.001176471,0.024705882,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.024705882,0.001176471,0.001176471,0.001176471,0.001176471,0.012941176,0.001176471,0.001176471,0.024705882,0.06,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.024705882,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.001176471,0.024705882,0.036470588,0.048235294
6,file:/C:/mallet/sample-data/abstract/3PAC-+-%20Enforcing%20Access%20Policies%20for%20Web%20Services..txt,0.002325581,0.002325581,0.141860465,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.165116279,0.002325581,0.025581395,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.072093023,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.048837209,0.025581395,0.025581395,0.002325581,0.002325581,0.025581395,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.002325581,0.374418605,0.002325581,0.002325581,0.002325581
7,file:/C:/mallet/sample-data/abstract/A%203-level%20e-Business%20Registry%20Meta%20Model..txt,0.001449275,0.044927536,0.030434783,0.001449275,0.001449275,0.001449275,0.044927536,0.102898551,0.146376812,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.146376812,0.001449275,0.320289855,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.015942029,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.001449275,0.015942029,0.001449275,0.001449275,0.073913043
8,file:/C:/mallet/sample-data/abstract/A%20Backwards%20Composition%20Context%20Based%20Service%20Selection%20Approach%20for%20Service%20Composition..txt,0.002702703,0.137837838,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.164864865,0.002702703,0.002702703,0.002702703,0.02972973,0.002702703,0.002702703,0.002702703,0.110810811,0.002702703,0.002702703,0.002702703,0.002702703,0.083783784,0.002702703,0.02972973,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.164864865,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.002702703,0.02972973,0.002702703,0.02972973,0.002702703,0.02972973,0.002702703,0.002702703,0.02972973,0.002702703,0.056756757,0.002702703,0.002702703
9,file:/C:/mallet/sample-data/abstract/A%20Bare-Metal%20and%20Asymmetric%20Partitioning%20Approach%20to%20Client%20Virtualization..txt,0.008730159,0.000793651,0.000793651,0.000793651,0.000793651,0.048412698,0.000793651,0.000793651,0.000793651,0.048412698,0.000793651,0.000793651,0.000793651,0.111904762,0.000793651,0.008730159,0.000793651,0.000793651,0.000793651,0.072222222,0.000793651,0.000793651,0.008730159,0.15952381,0.103968254,0.000793651,0.000793651,0.000793651,0.000793651,0.000793651,0.000793651,0.000793651,0.000793651,0.000793651,0.08015873,0.000793651,0.000793651,0.000793651,0.000793651,0.008730159,0.000793651,0.000793651,0.000793651,0.000793651,0.016666667,0.032539683,0.127777778,0.000793651,0.135714286,0.000793651
